OTU,phylum,ERZ1505396,ERZ1505397,ERZ1505398,ERZ1505399,ERZ1505401,ERZ1505400,ERZ1505402,ERZ1505403,ERZ3455818,ERZ3455794,ERZ3455798,ERZ3455802,ERZ3455814,ERZ3455822,ERZ3455826,ERZ3455854,ERZ3455795,ERZ3455805,ERZ3455806,ERZ3455810,ERZ3455811,ERZ3455821,ERZ3455827,ERZ3455830,ERZ3455834,ERZ3455837,ERZ3455842,ERZ3455796,ERZ3455800,ERZ3455816,ERZ3455817,ERZ3455824,ERZ3455832,ERZ3455839,ERZ3455849,ERZ3455855,ERZ3455863,ERZ3455867,ERZ3455803,ERZ3455809,ERZ3455831,ERZ3455859,ERZ3455884,ERZ3455797,ERZ3455815,ERZ3455825,ERZ3455862,ERZ3455876,ERZ3455888,ERZ3455812,ERZ3455843,ERZ3455851,ERZ3455868,ERZ3455872,ERZ3455880,ERZ3455807,ERZ3455823,ERZ3455836,ERZ3455892,ERZ3455799,ERZ3455835,ERZ3455845,ERZ3455850,ERZ3455857,ERZ3455865,ERZ3455871,ERZ3455877,ERZ3455882,ERZ3455887,ERZ3455858,ERZ3455791,ERZ3455801,ERZ3455813,ERZ3455852,ERZ3455870,ERZ3455838,ERZ3455844,ERZ3455860,ERZ3455873,ERZ3455881,ERZ3455891,ERZ3455896,ERZ3455847,ERZ3455885,ERZ3455792,ERZ3455841,ERZ3455874,ERZ3455875,ERZ3455889,ERZ3455900,ERZ3455820,ERZ3455828,ERZ3455861,ERZ3455864,ERZ3455886,ERZ3455894,ERZ3455895,ERZ3455846,ERZ3455856,ERZ3455899,ERZ3455879,ERZ3455793,ERZ3455819,ERZ3455848,ERZ3455853,ERZ3455878,ERZ3455804,ERZ3455829,ERZ3455833,ERZ3455840,ERZ3455869,ERZ3455883,ERZ3455893,ERZ3455808,ERZ3455890,ERZ3455897,ERZ3455866,ERZ3455898,OFEK01,ERZ761564,ERZ764804,ERZ772708,ERZ773283,ERZ724020,ERZ764730,ERZ761562,ERZ773282,ERZ778038,ERZ795017,ERZ795026,ERZ795029,ERZ795031,ERZ795044,ERZ795053,ERZ795056,ERZ795059,ERZ795062,ERZ795063,ERZ795064,ERZ795066,ERZ795067,ERZ795075,ERZ795076,ERZ795389,ERZ795397,ERZ746980,ERZ781412,ERZ781411,ERZ781410,ERZ781409,ERZ794912,ERZ794919,ERZ794932,ERZ794914,ERZ794915,ERZ794916,ERZ794917,ERZ794918,ERZ794920,ERZ794921,ERZ794930,ERZ794931,ERZ724508,ERZ724502,ERZ724529,ERZ724524,ERZ724514,ERZ724528,ERZ1026792,ERZ1026805,ERZ1026796,ERZ1026800,ERZ1026810,ERZ1026814,ERZ1764620,ERZ1764613,ERZ1764614,ERZ1764618,ERZ1764622,ERZ1764624
OTU11,Spirochaetes,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,10,0,0,0,0,0,10,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,1,6,12,11,8,16,11,15,14,0,9,0,9,0,15,15,9,13,16,3,11,17,10,0,0,2,15,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,0,4,2,0,7,3,7,6,4,3,0,0,0,0,0,2
OTU12,Tenericutes,1,2,1,2,2,3,7,2,0,0,1,0,2,0,0,0,0,0,4,3,0,0,2,2,1,1,0,0,0,0,0,1,1,1,2,0,0,0,1,0,2,1,0,6,0,0,0,4,0,0,1,0,2,2,2,7,0,0,0,3,6,1,2,0,0,0,2,1,0,1,0,0,0,1,0,0,1,0,1,0,1,2,3,2,0,1,1,0,2,7,1,3,0,1,1,3,3,4,1,1,0,0,0,3,0,0,0,3,0,0,2,0,4,2,2,5,13,5,2,5,1,7,1,0,7,2,0,1,0,1,5,2,3,6,2,2,2,5,2,12,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,5,2,2,5,0,0,1,0,0,0
OTU13,Verrucomicrobia,1,1,1,1,3,2,1,2,1,1,1,1,2,2,1,2,1,0,1,1,2,4,2,3,2,1,1,1,1,1,2,4,4,2,4,1,0,0,1,1,4,2,1,1,3,1,0,1,1,1,1,2,4,1,1,3,2,2,2,1,6,6,3,1,0,0,1,3,1,3,0,1,0,3,0,2,3,0,1,3,2,1,3,1,0,1,1,0,1,1,2,1,10,1,3,2,2,4,3,4,0,2,1,2,6,0,1,6,0,1,1,3,2,1,1,2,1,5,2,5,1,7,9,2,10,6,0,0,0,7,2,12,10,4,6,10,1,11,9,7,3,7,4,8,5,1,0,7,0,0,0,2,2,1,0,1,1,0,4,2,2,2,0,1,3,2,4,1,6,1,6,4,4,5,5,0,2,0,8,3
OTU14,Ascomycota,3,3,0,1,2,1,1,3,0,0,2,0,0,1,0,2,0,1,3,1,1,2,0,5,2,1,1,0,0,4,1,2,0,0,0,1,0,2,1,2,3,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,6,0,0,1,0,0,0,0,0,0,1,3,1,2,0,2,0,0,2,1,0,0,0,1,0,2,3,0,0,0,0,2,1,0,4,0,0,3,4,0,1,1,0,0,0,0,3,0,0,2,1,0,0,0,0,2,3,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU15,Basidiomycota,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU16,Arthropoda,0,0,2,2,6,2,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,3,0,0,0,1,1,0,1,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
OTU17,Chordata,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU18,Mollusca,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU19,Nematoda,6,10,2,5,11,12,8,8,0,0,3,0,0,0,0,2,1,0,3,3,2,4,1,3,0,1,3,2,1,0,0,2,0,0,2,0,1,0,0,0,3,3,0,5,0,3,0,3,1,0,0,3,0,1,7,6,4,0,3,5,0,0,3,0,2,1,1,5,3,5,0,0,0,3,1,2,2,2,0,0,0,2,4,1,0,2,2,0,3,2,4,0,2,1,2,3,5,5,5,0,1,2,0,6,3,3,1,2,0,3,1,2,1,2,3,4,13,2,0,0,1,0,0,2,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,6,4,8,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU20,Rotifera,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,3,0,0,2,0,2,0,2,0,0,0,2,1,0,5,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
